year,category,nominee,workers,winner
2000,Best Short Form Music Video,Brian McKnight: Back at One,"Brian McKnight (artist), Francis Lawrence (video director)",FALSE
2000,Best Short Form Music Video,TLC: Unpretty,"TLC (artist), Paul Hunter (video director)",FALSE
2000,Best Small Ensemble Performance (with or without Conductor),"Colors Of Love - Works Of Thomas, Stucky, Tavener & Rands",,TRUE
2000,"Best Song Written for a Motion Picture, Television or Other Visual Media",Beautiful Stranger,Austin Powers: The Spy Who Shagged Me,TRUE
2000,"Best Song Written for a Motion Picture, Television or Other Visual Media",Music of My Heart,Music of the Heart,FALSE
2000,"Best Song Written for a Motion Picture, Television or Other Visual Media",The Prince Of Egypt (When You Believe),The Prince of Egypt,FALSE
2000,Best Soundtrack Album,Tarzan,"Phil Collins (artist/producer), Mark Mancina (producer)",TRUE
2000,Best Soundtrack Album,Austin Powers: The Spy Who Shagged Me,,FALSE
2000,Best Soundtrack Album,The Prince of Egypt,,FALSE
2000,"Best Southern, Country or Bluegrass Gospel Album",Kennedy Center Homecoming (with Their Homecoming Friends),"Bill Gaither, Gloria Gaither",TRUE
2000,Best Spoken Comedy Album,Bigger And Blacker,Chris Rock,TRUE
2000,Best Spoken Word Album,"The Autobiography Of Martin Luther King, Jr.",LeVar Burton,TRUE
2000,Best Spoken Word Album for Children,Listen to the Storyteller,"Graham Greene (artist), Kate Winslet (artist), Wynton Marsalis (artist), David Frost (producer), Steven Epstein (producer)",TRUE
2000,Best Tejano Performance,Por Eso Te Amo,Los Palominos,TRUE
2000,Best Traditional Blues Album,Blues On The Bayou,B.B. King,TRUE
2000,Best Traditional Folk Album,Press On,June Carter Cash,TRUE
2000,Best Traditional Pop Vocal Performance,Bennett Sings Ellington - Hot & Cool,Tony Bennett,TRUE
2000,Best Traditional Pop Vocal Performance,You're the Top: Love Songs of Cole Porter,Bobby Short,FALSE
2000,Best Traditional Pop Vocal Performance,As Time Goes By - The Movie Album,Neil Diamond,FALSE
2000,Best Traditional R&B Vocal Performance,Staying Power,Barry White,TRUE
2000,Best Traditional Soul Gospel Album,Christmas With Shirley Caesar,Shirley Caesar,TRUE
2000,Best Traditional Tropical Latin Performance,Mambo Birdland,Tito Puente,TRUE
2000,Best World Music Album,Livro,Caetano Veloso,TRUE
2000,"Producer of the Year, Classical",Adam Abeshouse,,TRUE
2000,"Producer of the Year, Non-Classical",Walter Afanasieff,,TRUE
2000,Record of the Year,Smooth,"Santana (artist), Rob Thomas (artist), Matt Serletic (producer), David W. Thoener (engineer/mixer)",TRUE
2000,Record of the Year,Believe,Cher,FALSE
2000,Record of the Year,No Scrubs,TLC,FALSE
2000,"Remixer of the Year, Non-Classical",Club 69,,TRUE
2000,Song of the Year,Smooth,"Itaal Shur (songwriter), Rob Thomas (artist/songwriter), Santana (artist)",TRUE
2000,Best Pop Collaboration with Vocals,Smooth,"Santana, Rob Thomas",FALSE
2001,Album of the Year,Two Against Nature,"Steely Dan (artist), Walter Becker (producer), Donald Fagen (producer), Phil Burnett (engineer/mixer), Roger Nichols (engineer/mixer), Dave Russell (engineer/mixer), Elliot Scheiner (engineer/mixer)",TRUE
2001,Best Album Notes,Miles Davis & John Coltrane - The Complete Columbia Recordings 1955-1961,"Bob Blumenthal (album notes writer), Miles Davis (artist), John Coltrane (artist)",TRUE
2001,Best Alternative Music Album,Kid A,"Radiohead (artist/producers), Nigel Godrich (producer/engineer/mixer)",TRUE
2001,Best Bluegrass Album,The Grass Is Blue,"Dolly Parton (artist), Steve Buckingham (producer), Gary Paczosa (engineer/mixer)",TRUE
2001,Best Boxed Recording Package,Miles Davis & John Coltrane - The Complete Columbia Recordings 1955-1961,"Frank Harkins (art director), Arnold Levine (art director), Miles Davis (artist), John Coltrane (artist)",TRUE
2001,Best Chamber Music Performance,Shostakovich: The String Quartets,"Emerson String Quartet (artist), Da-Hong Seetoo (producer/engineer), Max Wilcox (producer/engineer)",TRUE
2001,Best Choral Performance,Penderecki: Credo,"Helmuth Rilling (conductor), Karen Wilson (producer), Don Harder (engineer), Oregon Bach Festival Chorus (artist), Oregon Bach Festival Orchestra (artist)",TRUE
2001,Best Classical Album,Shostakovich: The String Quartets,"Emerson String Quartet (artist), Da-Hong Seetoo (producer), Max Wilcox (producer)",TRUE
2001,Best Classical Contemporary Composition,Best Classical Contemporary Composition,George Crumb (composer),TRUE
2001,Best Classical Crossover Album,Appalachian Journey (Various Artists),"Yo-Yo Ma (artist), Edgar Meyer (artist), Mark O'Connor (artist), Steven Epstein (producer), Richard King (engineer)",TRUE
2001,Best Classical Vocal Performance,"The Vivaldi Album - Dell'aura al sussurrar, Alma oppressa","Christopher Raeburn (producer), Jonathan Stokes (engineer), Il Giardino Armonico (artist)",TRUE
2001,"Best Compilation Soundtrack Album for a Motion Picture, Television or other Visual Media",Almost Famous,"Cameron Crowe (producer), Danny Bramson (producer)",TRUE
2001,"Best Compilation Soundtrack Album for a Motion Picture, Television or other Visual Media",High Fidelity,,FALSE
2001,"Best Compilation Soundtrack Album for a Motion Picture, Television or other Visual Media",The Sopranos,,FALSE
2001,Best Contemporary Blues Album,Shoutin’ In Key,"Taj Mahal (artist), The Phanton Blues Band (artist), Tony Braunagel (producer), Terry Becker (engineer/mixer), Joe McGrath (engineer/mixer)",TRUE
2001,Best Contemporary Folk Album,Red Dirt Girl,"Emmylou Harris (artist), Malcolm Burn (producer/engineer/mixer), Jim Watts (engineer/mixer)",TRUE
2001,Best Contemporary Jazz Album,Outbound,"Bela Fleck (artist/producer/engineer/mixer), The Flecktones (artist), Richard Battaglia (engineer/mixer), Robert Battaglia (engineer/mixer)",TRUE
2001,Best Contemporary Soul Gospel Album,Thankful,"Mary Mary (artist), Warryn Campbell (producer), Manny Marroquin (engineer/mixer)",TRUE
2001,Best Country Album,Breathe,"Faith Hill (artist/producer), Byron Gallimore (producer), Julian King (engineer/mixer), Mike Shipley (engineer/mixer)",TRUE
