Theme,Song,Album Era,Lyric
Buildings and Rooms,Ronan,Red,What if I'm standing in your closet / Trying to talk to you?
Buildings and Rooms,Ronan,Red,"I remember the drive home when the blind hope / Turned to crying and screaming, ""Why?"""
Buildings and Rooms,Babe,Red,"I'm here on the kitchen floor / You call, but I won't hear it"
Buildings and Rooms,Nothing New,Red,How long will it be cute / All this crying in my room / Whеn you can't blame it on my youth / And roll your eyes with affеction?
Buildings and Rooms,Nothing New,Red,Are we only biding time 'til I lose your attention? / And someone else lights up the room?
Buildings and Rooms,I Bet You Think About Me,Red,I bet you think about me in your house / With your organic shoes and your million-dollar couch
Buildings and Rooms,Forever Winter,Red,I'd fall to pieces on the floor / If you weren't around
Buildings and Rooms,Forever Winter,Red,If I was standing there in your apartment / I'd take that bomb in your head and disarm it
Buildings and Rooms,The Very First Night,Red,Cause they don't know about the night in the hotel
Buildings and Rooms,The Very First Night,Red,"But don't forget about the night out in LA / Dance in the kitchen, chase me down through the hallway"
Buildings and Rooms,All Too Well (10 Minute Version),Red,Not weeping in a party bathroom / Some actress asking me what happened
Buildings and Rooms,All Too Well (10 Minute Version),Red,"But then he watched me watch the front door all night, willing you to come / And he said, ""It's supposed to be fun turning 21"""
Buildings and Rooms,Mine,Speak Now,"I say, ""Can you believe it?"" / As we're lying on the couch"
Buildings and Rooms,Mine,Speak Now,And there's a drawer of my things at your place
Buildings and Rooms,Sparks Fly,Speak Now,The way you move is like a full on rainstorm / And I'm a house of cards
Buildings and Rooms,Sparks Fly,Speak Now,"And lead me up the staircase, won't you whisper soft and slow?"
Buildings and Rooms,Back To December,Speak Now,"I'd go back in time and change it, but I can't / So if the chain is on your door, I understand"
Buildings and Rooms,Speak Now,Speak Now,And she is yelling at a bridesmaid / Somewhere back inside a room / Wearing a gown shaped like a pastry
Buildings and Rooms,Speak Now,Speak Now,"Don't say yes, run away now / I'll meet you when you're out of the church at the back door"
Buildings and Rooms,Dear John,Speak Now,"Counting my footsteps / Praying the floor won't fall through, again"
Buildings and Rooms,Dear John,Speak Now,"Don't you think I was too young to be messed with? / The girl in the dress, cried the whole way home"
Buildings and Rooms,The Story Of Us,Speak Now,I used to know my place was a spot next to you / Now I'm searching the room for an empty seat
Buildings and Rooms,The Story Of Us,Speak Now,Now I'm standing alone in a crowded room / And we're not speaking
Buildings and Rooms,Never Grow Up,Speak Now,"So here I am in my new apartment / In a big city, they just dropped me off"
Buildings and Rooms,Enchanted,Speak Now,And now I'm pacing back and forth / Wishing you were at my door
Buildings and Rooms,Innocent,Speak Now,You wouldn't be shattered on the floor now / If only you had seen what you know now then
Buildings and Rooms,Innocent,Speak Now,"Now, I'm pacing down the hall / Chasing down your street"
Buildings and Rooms,Ours,Speak Now,Elevator buttons and morning air / Strangers' silence makes me wanna take the stairs
Buildings and Rooms,When Emma Falls in Love,Speak Now,"When Emma falls in love, she paces the floor / Closes the blinds and locks the door"
Buildings and Rooms,I Can See You,Speak Now,"You brush past me in the hallway / And you don't think I, I, I can see ya, do ya?"
Buildings and Rooms,I Can See You,Speak Now,’Cause I can see you waitin' down the hall from me / And I could see you up against the wall with me
Buildings and Rooms,Castles Crumbling,Speak Now,Now they're screamin' at the palace front gates / Used to chant my name
Buildings and Rooms,If This Was A Movie,Fearless,Last night I heard my own heart beating / Sounded like footsteps on my stairs
Buildings and Rooms,If This Was A Movie,Fearless,"Now I'm pacing up the hall, chasing down your street"
Buildings and Rooms,If This Was A Movie,Fearless,I just want it back the way it was before / And I just want to see you back at my front door
Buildings and Rooms,Superman,Speak Now,"I'm lovestruck and looking out the window / Don't forget, don't forget where I'll be"
Buildings and Rooms,Fearless,Fearless,"Well, you stood there with me in the doorway / My hands shake, I'm not usually this way"
Buildings and Rooms,Fifteen,Fearless,You take a deep breath / And you walk through the doors / It's the morning of your very first day
Buildings and Rooms,Love Story,Fearless,"I'm standing there / On a balcony, in summer air"
Buildings and Rooms,Love Story,Fearless,"And I was crying on the staircase / Begging you, ""Please don't go"""
Buildings and Rooms,You Belong With Me,Fearless,"I'm in my room, it's a typical Tuesday night"
Buildings and Rooms,You Belong With Me,Fearless,"Standing by and waiting at your backdoor / All this time how could you not know, baby?"
Buildings and Rooms,Forever & Always,Fearless,"Baby, what happened? Please tell me / 'Cause one second it was perfect / Now you're halfway out the door"
Buildings and Rooms,The Best Day,Fearless,I grew up in a pretty house / And I had space to run and I / had the best days with you
Buildings and Rooms,The Best Day,Fearless,And we talk and window shop / 'Till I forgotten all their names
Buildings and Rooms,The Best Day,Fearless,You set up a paint set in the kitchen / And you're talking to me
Buildings and Rooms,Come In With The Rain,Fearless,And I know all the steps up to your door / But I don't wanna go there anymore
Buildings and Rooms,Come In With The Rain,Fearless,I'll leave my window open / 'Cause I'm too tired tonight to call your name
Buildings and Rooms,The Other Side Of the Door,Fearless,"I said, ""Leave"", but, baby, all I want is you / To stand outside my window, throwin' pebbles"
Buildings and Rooms,The Other Side Of the Door,Fearless,"And don't you leave, 'cause I know / All I need is on the other side of the door"
Buildings and Rooms,The Other Side Of the Door,Fearless,And I remember the slamming door / And all the things that I misread
Buildings and Rooms,The Other Side Of the Door,Fearless,"You carried me from your car up the stairs / And I broke down crying, was she worth this mess?"
Buildings and Rooms,Mr. Perfectly Fine,Fearless,"It's the best seat, in the best room / Oh, he's so smug, Mr. ""Always wins"""
Buildings and Rooms,That's When,Fearless,"And that's when I'll be waiting at the front gate / That's when, when I see your face / I'll let you in, and baby, that's when"""
Buildings and Rooms,Bye Bye Baby,Fearless,"I want you bad but it's come down to nothing / And all I have is your sympathy / 'Cause you took me home but you just couldn't keep me / Bye, bye, baby"
Buildings and Rooms,Tim McGraw,Taylor Swift,"So I drive home alone, as I turn out the light / I'll put his picture down and maybe get some sleep tonight"
Buildings and Rooms,Stay Beautiful,Taylor Swift,"They watch him as he's walking home / Saying, does he know / Will you ever know?"
Buildings and Rooms,Stay Beautiful,Taylor Swift,"I hope your life will lead you back to my door / Oh, but if it don't / Stay beautiful"
Buildings and Rooms,Should've Said No,Taylor Swift,"You should've said no, you should've gone home / You should've thought twice 'fore you let it all go"
Buildings and Rooms,Mary's Song,Taylor Swift,"Take me home where we met so many years before / We'll rock our babies on that very front porch / After all this time, you and I"
Buildings and Rooms,Our Song,Taylor Swift,"I was walkin' up the front porch steps after everything that day / Had gone all wrong and been trampled on / And lost and thrown away / Got to the hallway, well on my way to my lovin' bed"
Buildings and Rooms,Our Song,Taylor Swift,"And when I got home, 'fore I said, ""Amen"" / Askin' God if he could play it again, play it again"
Celebrity and Publicity,Lavender Haze,Midnights,1950s shit they want from me is one-night or a wife 
Celebrity and Publicity,Lavender Haze,Midnights,"You handle it beautifully, you weren't even listening "
Celebrity and Publicity,Anti-Hero,Midnights,"sexy baby, like some kind of congressman "
Celebrity and Publicity,"You're on your own, kid",Midnights,I didn't choose this town / I dream of getting out
Celebrity and Publicity,"You're on your own, kid",Midnights,I search the party of better bodies / Just to learn that my dreams aren't rare
Celebrity and Publicity,Midnight Rain,Midnights,"He wanted a bride, I was making my own name"
Celebrity and Publicity,Midnight Rain,Midnights,"My town was a wasteland / Full of cages, full of fences / Pageant queens and big pretenders / But for some, it was paradise"
Celebrity and Publicity,Midnight Rain,Midnights,"Chasing that fame, he stayed the same"
Celebrity and Publicity,Labyrinth,Midnights,you know how much I hate that everyone just expexts me to bounce back
Celebrity and Publicity,Sweet Nothing,Midnights,Industry disruptors and soul deconstructors / And smooth-talking hucksters out glad-handing each other
Celebrity and Publicity,Paris,Midnights,"Your ex-friend's sister met someone at a club, and he kissed her / Turns out it was that guy you hooked up with ages ago / Some wannabe Z-lister"
Celebrity and Publicity,"Would've, Could've, Should've",Midnights,If I never blushed then they could've / Never whispered about this
Celebrity and Publicity,dorothea,evermore,I'll go back to LA and then so called friends who'll write books about me if I ever make it
Celebrity and Publicity,long story short,evermore,"Fell from the pedestal, right down the rabbit hole"
Celebrity and Publicity,right where you left me,evermore,"Trends change, rumors fly through new skies / But I'm right where you left me"
Celebrity and Publicity,right where you left me,evermore,"Everybody moved on / I, I stayed there / Dust collected on my pinned-up hair / They expected me to find somewhere / Some perspective, but I sat and stared"
Celebrity and Publicity,mirrorball,folklore,"And they called off the circus, burned the disco down / When they sent home the horses and the rodeo clowns"
Celebrity and Publicity,the lakes,folklore,I'm not cut out for all these cynical clones / These hunters with cell phones
Celebrity and Publicity,the lakes,folklore,I've come too far to watch some namedropping sleaze / Tell me what are my words worth
Celebrity and Publicity,I Forgot That You Existed,Lover,"Got out some popcorn / As soon as my rep started going down, down, down / Laughed on the schoolyard as soon as I / Tripped up and hit the ground, ground, ground"
Celebrity and Publicity,Miss Americana & The Heartbreak Prince,Lover,"They whisper in the hallway, ""She's a bad, bad girl"" (okay) / The whole school is rolling fake dice"
Celebrity and Publicity,London Boy,Lover,"So I guess all the rumors are true / You know I love a London boy / Boy, I fancy you, ooh"
Celebrity and Publicity,You Need To Calm Down,Lover,"You are somebody that I don't know / But you're taking shots at me like it's Patrón / And I'm just like ""Damn, it's 7:00 a.m."""
Celebrity and Publicity,You Need To Calm Down,Lover,"And we see you over there on the internet / Comparing all the girls who are killing it / But we figured you out / We all know now, we all got crowns / You need to calm down"
Celebrity and Publicity,End Game,reputation,"Reputation precedes me, in rumors I'm knee deep / The truth is it's easier to ignore it, believe me"
Celebrity and Publicity,End Game,reputation,"Reputation precedes me, they told you I'm crazy / I swear I don't love the drama, it loves me"
Celebrity and Publicity,Delicate,reputation,"This ain't for the best / My reputation's never been worse, so"
Celebrity and Publicity,Look What You Made Me Do,reputation,"I don't trust nobody and nobody trusts me; / But the old Taylor can't come to the phone right now / Why? Oh, 'cause she's dead (oh)"
Celebrity and Publicity,Look What You Made Me Do,reputation,"The world moves on, another day another drama, drama / But not for me, not for me, all I think about is karma"
Celebrity and Publicity,Look What You Made Me Do,reputation,"And then the world moves on, but one thing's for sure / Maybe I got mine, but you'll all get yours"
Celebrity and Publicity,Dancing With Our Hands Tied,reputation,"People started talking, putting us through our paces / I knew there was no one in the world who could take it / I had a bad feeling"
Celebrity and Publicity,This Is Why We Can't Have Nice Thigs,reputation,And here's to my baby / He ain't reading what they call me lately / And here's to my mama / Had to listen to all this drama; / 
Celebrity and Publicity,This Is Why We Can't Have Nice Thigs,reputation,Did you think I wouldn't hear all the things you said about me? / This is why we can't have nice things
Celebrity and Publicity,This Is Why We Can't Have Nice Thigs,reputation,But I'm not the only friend you've lost lately (mmm-mmm) / If only you weren't so shady
Celebrity and Publicity,Call It What You Want,reputation,All the liars are calling me one / Nobody's heard from me for months
Celebrity and Publicity,Call It What You Want,reputation,My baby's fly like a jet stream / High above the whole scene / Loves me like I'm brand new
Celebrity and Publicity,Shake It Off,1989,"Heartbreakers gonna break, break, break, break, break / And the fakers gonna fake, fake, fake, fake, fake"
Celebrity and Publicity,Wonderland,1989,"But there were strangers watchin' / And whispers turned to talkin' / And talking turned to screams, oh"
Celebrity and Publicity,New Romantics,1989,"We show off our different scarlet letters / Trust me, mine is better"
Celebrity and Publicity,New Romantics,1989,"The rumors are terrible and cruel / But honey, most of them are true"
Celebrity and Publicity,Eyes Open,Red,Everybody's waiting / Everybody's watching / Even when you're sleeping
Celebrity and Publicity,Eyes Open,Red,Everybody's waiting for you to breakdown / Everybody's watching to see the fallout
Celebrity and Publicity,The Lucky One,Red,And your secrets end up splashed on the news front page
Celebrity and Publicity,The Lucky One,Red,"And they tell you that you're lucky, but you're so confused / 'Cause you don't feel pretty, you just feel used / And all the young things line up to take your place"
Celebrity and Publicity,Nothing New,Red,"They tell you while you're young / ""Girls, go out and have your fun"" / Then they hunt and slay the ones who actually do it"
Celebrity and Publicity,Nothing New,Red,"Criticize the way you fly when you're soarin' through the sky / Shoots you down and then they sigh, and say / ""She looks like she's been through it"""
Celebrity and Publicity,Nothing New,Red,And my cheeks are growing tired / From turning red and faking smiles / Are we only biding time 'til I lose your attention? / And someone else lights up the room? / People love an ingénue
Celebrity and Publicity,Nothing New,Red,"I know someday I'm gonna meet her, it's a fever dream / The kind of radiance you only have at 17 / She'll know the way, and then she'll say she got the map from me / I'll say I'm happy for her, then I'll cry myself to sleep"
Celebrity and Publicity,Nothing New,Red,I've had (I've had) too much to drink tonight / But I wonder if they'll miss me once they drive me out
Celebrity and Publicity,Babe,Red,"I break down every time you call / We're a wreck, you're the wrecking ball"
Celebrity and Publicity,I Bet You Think About Me,Red,"Chasing make-believe status, last time you felt free / Was when none of that shit mattered 'cause you were with me"
Celebrity and Publicity,All Too Well (10 Minute Version),Red,You who charmed my dad with self-effacing jokes / Sipping coffee like you're on a late night show
Celebrity and Publicity,Better Than Revenge,Speak Now,"She's an actress, whoa / She's better known for the things that she does / On the mattress, whoa"
Celebrity and Publicity,Better Than Revenge,Speak Now,She looks at life like it's a party and she's on the list / She looks at me like I'm a trend and she's so over it
Celebrity and Publicity,The Way I Love You,Fearless,"And you were wild and crazy / Just so frustrating, intoxicating, complicated / Got away by some mistake and now"
Celebrity and Publicity,Forever & Always,Fearless,"Cause I was there when you said forever and always / You didn't mean it, baby / You said forever and always, yeah"
Celebrity and Publicity,We Were Happy,Fearless,I do recall a good while back / We snuck into the circus
Celebrity and Publicity,Cold As You,Taylor Swift,Every smile you fake is so condescending / Counted all the scars you made
Celestial Objects,Maroon,Midnights,Looked up at the sky and it was (Maroon)
Celestial Objects,Anti-Hero,Midnights,I'll stare directly at the sun but never in the mirror
Celestial Objects,Snow on the Beach,Midnights,One night a few moons ago / I saw flecks of what could've been lights
Celestial Objects,Snow on the Beach,Midnights,"Flying in a dream, stars by the pocketful / You wanting me tonight feels impossible"
Celestial Objects,Snow on the Beach,Midnights,"This scene feels like what I once saw on a screen / I searched ""aurora borealis green"""
Celestial Objects,Snow on the Beach,Midnights,But your eyes are flying saucers from another planet / Now I'm all for you like Janet / Can this be a real thing? Can it?
Celestial Objects,Question…?,Midnights,"Half-moon eyes, bad surprise / Did you realize out of time?"
Celestial Objects,Question…?,Midnights,Does it feel like everything is second best after that meteor strike?
Celestial Objects,Bejeweled,Midnights,sadness became my whole sky
Celestial Objects,Mastermind,Midnights,Once upon a time / The planets and the fates and all the stars aligned
Celestial Objects,Bigger Than The Whole Sky,Midnights,"Goodbye, you were bigger than the whole sky"
Celestial Objects,High Infidelity,Midnights,Do I really have to chart the constellations in his eyes?
Celestial Objects,Glitch,Midnights,"nights are so starry, blood moonlit"
Celestial Objects,Hits different,evermore,Now the sun burns my heart and the sand hurts my feelings
Celestial Objects,tolerate it,evermore,"I made you my temple, my mural, my sky"
Celestial Objects,happiness,evermore,"There is a glorious sunrise dappled with flickers of light,  / from the dress I wore at midnight, leave it all behind"
Celestial Objects,dorothea,evermore,The stars in your eyes shined brighter in Tupelo
Celestial Objects,coney island,evermore,Did I paint your bluest skies the darkest grey?
Celestial Objects,ivy,evermore,Crescent moon coast is clear
Celestial Objects,cowboy like me,evermore,You're a bandit like me / Eyes full of stars
Celestial Objects,long story short,evermore,"And he's passing by, rare as the glimmer of a comet in the sky"
Celestial Objects,marjorie,evermore,You loved the amber skies so much
Celestial Objects,cardigan,folklore,You drew stars around my scars but now I'm bleeding
Celestial Objects,my tears richochet,folklore,I still talk to you when I'm screaming at the sky
Celestial Objects,seven,folklore,"I was high in the sky, with Pennsylvania under me"
Celestial Objects,seven,folklore,Love you to the moon and saturn
Celestial Objects,august,folklore,Your back beneath the sun
Celestial Objects,the lakes,folklore,I want auroras and sad prose
Celestial Objects,All the Girls You Loved Before,Lover,Your past and mine are parallel lines / Stars all aligned and they intertwined
Celestial Objects,Soon You'll Get Better,Lover,"I'll paint the kitchen neon, I'll brighten up the sky"
Celestial Objects,It's Nice To Have A Friend,Lover,"Light pink sky up on the roof / Sun sinks down, no curfew"
Celestial Objects,Call It What You Want ,reputation,"I'm laughing with my lover, making forts under covers / Trust him like a brother, yeah, you know I did one thing right / Starry eyes sparkin' up my darkest night"
Celestial Objects,Blank Space,1989,"Cherry lips, crystal skies"
Celestial Objects,Out Of The Woods,1989,"When you started crying, baby, I did too / But when the sun came up, I was looking at you"
Celestial Objects,Out Of The Woods,1989,But the monsters turned out to be just trees / When the sun came up you were looking at me
Celestial Objects,This Love,1989,Skies grew darker / Currents swept you out again
Celestial Objects,Clean,1989,Hung my head as I lost the war / And the sky turned black like a perfect storm
Celestial Objects,The Moment I Knew ,Red,A million little shining stars had just aligned / And I would've been so happy
Celestial Objects,Ronan,Red,I love you to the moon and back
Celestial Objects,Nothing New,Red,Criticize the way you fly when you're soarin' through the sky
Celestial Objects,Run,Red,I could see this view a hundred times / Pale blue sky reflected in your eyes
Celestial Objects,Dear John,Speak Now,You paint me a blue sky / Then go back and turn it to rain
Celestial Objects,Electric Touch,Speak Now,I was thinking just one time (Just one time) / Maybe the stars align (Just one time)
Celestial Objects,When Emma FAlls in Love,Speak Now,"When Emma falls in love, it's all on her face / Hangs in the air like stars in outer space"
Celestial Objects,The Best Day,Fearless,"Look now, the sky is gold / I hug your legs / And fall asleep on the way home"
Celestial Objects,Untouchable,Fearless,Untouchable like a distant diamond sky
Celestial Objects,Untouchable,Fearless,"Untouchable, burning brighter than the sun / And when you're close, I feel like coming undone"
Celestial Objects,Untouchable,Fearless,In the middle of the night when I'm in this dream / It's like a million little stars spelling out your name
Celestial Objects,Come In With The Rain,Fearless,"Talk to the wind, talk to the sky / Talk to the man with the reasons why"
Celestial Objects,Today Was A Fairytale,Fearless,You've got a smile / That takes me to another planet
Celestial Objects,Tim McGraw,Taylor Swift,He said the way my blue eyes shined / Put those Georgia stars to shame that night
Celestial Objects,Tim McGraw,Taylor Swift,The moon like a spotlight on the lake / When you think happiness / I hope you think that little black dress
Celestial Objects,Teardrops on My Guitar,Taylor Swift,He's the reason for the teardrops on my guitar / The only thing that keeps me wishin' on a wishin' star
Celestial Objects,Mary's Song,Taylor Swift,"She said, ""I was seven and you were nine"" / I looked at you like the stars that shine / In the sky, the pretty lights"
Celestial Objects,I'm Only Me When I'm With You,Taylor Swift,You and I are painting pictures in the sky / And sometimes we don't say a thing
Cold and Ice,Snow on the Beach,Midnights,Snow on the beach / Weird but fucking beautiful
Cold and Ice,The Great War,Midnights,Soldier down on that icy ground
Cold and Ice,tis the damn season,evermore,"It's the kind of cold, fogs up windshield glass, but I felt it when I passed you"
Cold and Ice,ivy,evermore,"in from the snow, your touch brought forth an incandescent glow"
Cold and Ice,ivy,evermore,My pain fits in the palm of your freezing hand
Cold and Ice,evermore,evermore,Whether weather be the frost / Or the violence of the dog days
Cold and Ice,right where you left me,evermore,Did you ever hear about the girl who got frozen?
Cold and Ice,it's time to go,evermore,When your dinner is cold and the chatter gets old / You ask for the tab
Cold and Ice,it's time to go,evermore,He's got my past frozen behind glass / But I've got me
Cold and Ice,invisible string,folklore,Cold was the steel of my axe to grind
Cold and Ice,hoax,folklore,This has frozen my ground
Cold and Ice,the lakes,folklore,A red rose grew up out of ice frozen ground
Cold and Ice,Paper Rings,Lover,The wine is cold / Like the shoulder that I gave you in the street
Cold and Ice,Paper Rings,Lover,"In the winter, in the icy outdoor pool / When you jumped in first, I went in too"
Cold and Ice,Delicate,reputation,Is it cool that I said all that? / Is it chill that you're in my head? / 'Cause I know that it's delicate (Delicate)
Cold and Ice,Dancing With Our Hands Tied,reputation,"And my, my love had been frozen / Deep blue, but you painted me golden"
Cold and Ice,Dancing With Our Hands Tied,reputation,"So, baby, can we dance / Oh, through an avalanche?"
Cold and Ice,Bad Blood,1989,"If you live like that, you live with ghosts (hey!) / Hm, if you love like that, blood runs cold"
Cold and Ice,I Knew You Were Trouble,Red,Flew me to places I'd never been / Now I'm lying on the cold hard ground
Cold and Ice,All Too Well,Red,I walked through the door with you / The air was cold
Cold and Ice,All Too Well (10 Minute Version),Red,Cause in this city's barren cold / I still remember the first fall of snow / And how it glistened as it fell / I remember it all too well
Cold and Ice,Back to December,Speak Now,"And then the cold came, the dark days / When fear crept into my mind / You gave me all your love and all I gave you was goodbye"
Cold and Ice,Mean,Speak Now,I'll bet you got pushed around / Somebody made you cold
Cold and Ice,Never Grow Up,Speak Now,It's so much colder than I thought it would be / So I tuck myself in and turn my nightlight on
Cold and Ice,Haunted,Speak Now,"Oh, I'm holding my breath / Won't lose you again / Something's made your eyes go cold"
Cold and Ice,You're Not Sorry,Fearless,Could've loved you all my life / If you hadn't left me waiting in the cold
Cold and Ice,Cold As You,Taylor Swift,And now that I'm sittin' here thinkin' it through / I've never been anywhere cold as you
Colors and Painting,Lavender Haze,Midnights,I feel the lavender haze creeping up on me
Colors and Painting,Maroon,Midnights,The burgundy on my t-shirt when you splashed your wine into me
Colors and Painting,Lavender Haze,Midnights,I just wanna stay in that lavender haze
Colors and Painting,Snow on the Beach,Midnights,This scene feels like what I once saw on a screen / I searched 'aurora borealis green'
Colors and Painting,Maroon,Midnights,"And how the blood rushed into my cheeks, so scarlet it was"
Colors and Painting,Maroon,Midnights,The rust that grew between telephones
Colors and Painting,Question…?,Midnights,Cause I don't remember who I was / Before you painted all my nights / A color I've searched for since
Colors and Painting,Question…?,Midnights,Got swept away in the gray / I just may like to have a conversation
Colors and Painting,Maroon,Midnights,"The lips I used to call home / So scarlet, it was maroon"
Colors and Painting,Maroon,Midnights,I feel you no matter what / The rubies that I gave up
Colors and Painting,"Would've, Could've, Should've",Midnights,"If I was some paint, did it splatter / On a promising grown man"
Colors and Painting,Hits different,Midnights,Catastrophic blues / Movin' on was always easy for me to do
Colors and Painting,You're Losing Me,Midnights,"My face was gray, but you wouldn't admit that we were sick"
Colors and Painting,champagne problems,evermore,Your Midas touch on the Chevy door / November flush and your flannel cure
Colors and Painting,gold rush,evermore,"But I don't like a gold rush, gold rush"
Colors and Painting,gold rush,evermore,I don't like anticipating my face in a red flush
Colors and Painting,gold rush,evermore,And thеn it fades into the gray of my day-old tea / 'Cause it could never be
Colors and Painting,gold rush,evermore,"I don't like slow motion, double vision in rose blush"
Colors and Painting,tolerate it,evermore,Use my best colors for your portrait / Lay the table with the fancy shit / And watch you tolerate it
Colors and Painting,tolerate it,evermore,"I made you my temple, my mural, my sky"
Colors and Painting,coney island,evermore,"In the tree line, by the gold clock?"
Colors and Painting,coney island,evermore,Did I paint your bluest skies the darkest grey?
Colors and Painting,long story short,evermore,I always felt I must look better in the rear view / Missing me / At the golden gates they once held the keys to
Colors and Painting,marjorie,evermore,You loved the amber skies so much
Colors and Painting,evermore,evermore,Gray November / I've been down since July
Colors and Painting,right where you left me,evermore,Glass shattered on the white cloth / Everybody moved on
Colors and Painting,the 1,folklore,"We never painted by the numbers babe, but we were making it count"
Colors and Painting,the last great american dynasty,folklore,"and in a feud with her neighbor, she stole his dog and dyed it a key lime green"
Colors and Painting,illicit affairs,folklore, You showed me colors you know I can't see with anyone else
Colors and Painting,invisible string,folklore,Green was the color of the grass / Where I used to read at Centennial Park
Colors and Painting,invisible string,folklore,Teal was the color of your shirt when you were 16 at the yogurt shop
Colors and Painting,invisible string,folklore,Gold was the color of the leaves / When I showed you around Centennial Park
Colors and Painting,invisible string,folklore,"Time, wondrous time / Gave me the blues and then purple-pink skies"
Colors and Painting,peace,folklore,"But I'm a fire, and I'll keep your brittle heart warm / If your cascade ocean wave blues come"
Colors and Painting,peace,folklore,Your integrity makes me seem small / You paint dreamscapes on the wall
Colors and Painting,Hoax,folklore,Don't want no other shade of blue but you / No other sadness in the world would do
Colors and Painting,Lover,Lover,My heart's been borrowed and yours has been blue / All's well that ends well to end up with you
Colors and Painting,I Think He Knows,Lover,"Lyrical smile, indigo eyes, hand on my thigh / We could follow the sparks, I'll drive"
Colors and Painting,Miss Americana & The Heartbreak Prince,Lover,"We're so sad, we paint the town blue"
Colors and Painting,Paper Rings,Lover,"I'm with you, even if it makes me blue, which takes me back / To the color that we painted your brother's wall"
Colors and Painting,Soon You'll Get Better,Lover,"Holy orange bottles, each night, I pray to you"
Colors and Painting,Soon You'll Get Better,Lover,"I'll paint the kitchen neon, I'll brighten up the sky"
Colors and Painting,Afterglow,Lover,I blew things out of proportion / Now you're blue
Colors and Painting,Afterglow,Lover,"This ultraviolet morning light below / Tells me this love is worth the ﬁght, oh"
Colors and Painting,Me!,Lover,But one of these things is not like the others / Like a rainbow with all of the colors
Colors and Painting,It's Nice To Have A Friend ,Lover,Light pink sky / Up on the roof
Colors and Painting,Daylight,Lover,I once believed love would be (Black and white)
Colors and Painting,Daylight,Lover,But it's golden (Golden)
Colors and Painting,Daylight,Lover,I once believed love would be (Burning red)
Colors and Painting,Daylight,Lover,"But it's golden / Like daylight, like daylight"
Colors and Painting,End Game,reputation,It's like your body is gold
Colors and Painting,End Game,reputation,You've been calling my bluff on all my usual tricks / So here's the truth from my red lips
Colors and Painting,I Did Something Bad,reputation,I can feel the flames on my skin / Crimson red paint on my lips
Colors and Painting,Delicate,reputation,"Dark jeans and your Nikes, look at you, / Oh damn never seen that color blue"
Colors and Painting,So It Goes…,reputation,"Gold cage, hostage to my feelings"
Colors and Painting,So It Goes…,reputation,I make all your gray days clear and / Wear you like a necklace
Colors and Painting,So It Goes…,reputation,"Come here, dressed in black now / So, so, so it goes"
Colors and Painting,Look what you made me do,reputation,"I got a list of names, and yours is in red, underlined / I check it once, then I check it twice, oh!"
Colors and Painting,Gorgeous,reputation,"Ocean blue eyes, lookin' in mine / I feel like I might sink and drown and die"
Colors and Painting,Getaway Car,reputation,"The ties were black,"
Colors and Painting,Getaway Car,reputation,the lies were white
Colors and Painting,Getaway Car,reputation,In shades of gray in candlelight
Colors and Painting,Dancing With Our Hands Tied,reputation,"And my, my love had been frozen / Deep blue, but you painted me golden"
Colors and Painting,Style,1989,And I got that red lip classic thing that you like
Colors and Painting,Style,1989,"You got that long hair, slicked back, white T-shirt / And I got that good girl faith and a tight little skirt"
Colors and Painting,Blank Space,1989,"Cherry lips, crystal skies / I could show you incredible things"
Colors and Painting,Out Of The Woods,1989,The rest of the world was black and white / But we were in screaming color
Colors and Painting,This Love,1989,Clear blue water / High tide came and brought you in
Colors and Painting,Wildest Dreams,1989,"Say you'll remember me / Standing in a nice dress / Staring at the sunset, babe / Red lips and rosy cheeks; / His hands are in my hair, his clothes are in my room"
Colors and Painting,Wildest Dreams,1989,"Say you'll remember me / Standing in a nice dress / Staring at the sunset, babe / Red lips and rosy cheeks"
Colors and Painting,I Know Places,1989,"(I) in the dead of night, your eyes so green"
Colors and Painting,Clean,1989,Hung my head as I lost the war / And the sky turned black like a perfect storm
Colors and Painting,Wonderland,1989,Didn't you flash your green eyes at me?
Colors and Painting,New Romantics,1989,We show off our different scarlet letters
Colors and Painting,State of Grace,Red,Just twin fire signs / Four blue eyes
Colors and Painting,State of Grace,Red,So you were never a saint / And I've loved in shades of wrong
Colors and Painting,State of Grace,Red,This is the golden age of something good and right and real
Colors and Painting,Red,Red,"Like the colors in autumn, so bright, just before they lose it all"
Colors and Painting,Red,Red,Losing him was blue like I'd never known
Colors and Painting,Red,Red,"Missing him was dark gray, all alone"
Colors and Painting,Red,Red,Forgetting him was like tryin' know somebody you never met / But loving him was red
Colors and Painting,All Too Well,Red,You almost ran the red 'cause you were lookin' over at me
Colors and Painting,All Too Well,Red,But maybe this thing was a masterpiece 'til you tore it all up
Colors and Painting,All Too Well,Red,Your cheeks were turning red
Colors and Painting,Holy Ground,Red,"Took off faster than a green light, go"
Colors and Painting,Everything Has Changed,Red,And all I've seen since 18 hours ago / Is green eyes and freckles
Colors and Painting,Everything Has Changed,Red,"And all my walls stood tall, painted blue"
Colors and Painting,Everything Has Changed,Red,"He said, ""Look at you, worrying so much about things you can't change / You'll spend your whole life singing the blues / If you keep thinking that way"""
Colors and Painting,The Moment I Knew ,Red,And it was like slow motion / Standing there in my party dress / In red lipstick
